,week,name,pos,type,team,buy_price,sell_price,xP,xMin,lineup,bench,captain,vicecaptain,transfer_in,transfer_out
4,17,Ward,GKP,1,Leicester,4.1,4.0,3.61,87,1,-1,0,0,0,0
1,17,Dunk,DEF,2,Brighton,4.7,4.6,3.7,88,1,-1,0,0,0,0
12,17,Trippier,DEF,2,Newcastle,5.9,5.6,3.82,86,1,-1,0,0,0,0
7,17,Cancelo,DEF,2,Man City,7.4,7.3,4.18,78,1,-1,0,0,0,0
8,17,Foden,MID,3,Man City,8.3,8.3,3.79,59,1,-1,0,0,0,0
10,17,Rashford,MID,3,Man Utd,6.7,6.6,4.47,67,1,-1,0,0,0,0
0,17,Martinelli,MID,3,Arsenal,6.8,6.8,5.38,80,1,-1,0,0,0,0
2,17,Zaha,MID,3,Crystal Palace,7.5,7.3,5.58,85,1,-1,0,1,0,0
6,17,Darwin,FWD,4,Liverpool,9.0,8.9,4.19,76,1,-1,0,0,0,0
11,17,Wilson,FWD,4,Newcastle,7.4,7.4,4.97,75,1,-1,0,0,1,0
9,17,Haaland,FWD,4,Man City,12.2,11.9,7.42,82,1,-1,1,0,0,0
5,17,Iversen,GKP,1,Leicester,3.9,3.9,0.02,3,0,0,0,0,0,0
14,17,Zouma,DEF,2,West Ham,4.5,4.5,1.74,83,0,3,0,0,0,0
15,17,Kilman,DEF,2,Wolves,4.4,4.4,2.63,85,0,2,0,0,0,0
3,17,Andreas,MID,3,Fulham,4.6,4.5,3.02,82,0,1,0,0,0,0
13,17,Kane,FWD,4,Spurs,11.6,11.5,5.07,86,0,-1,0,0,0,1
20,18,Ward,GKP,1,Leicester,4.1,4.0,3.56,85,1,-1,0,0,0,0
30,18,Zouma,DEF,2,West Ham,4.5,4.5,3.22,81,1,-1,0,0,0,0
29,18,Trippier,DEF,2,Newcastle,5.9,5.6,4.48,81,1,-1,0,0,0,0
24,18,Cancelo,DEF,2,Man City,7.4,7.3,4.76,75,1,-1,0,0,0,0
19,18,Andreas,MID,3,Fulham,4.6,4.5,3.26,78,1,-1,0,0,0,0
27,18,Rashford,MID,3,Man Utd,6.7,6.6,3.92,66,1,-1,0,0,0,0
18,18,Zaha,MID,3,Crystal Palace,7.5,7.3,4.05,82,1,-1,0,0,0,0
22,18,Salah,MID,3,Liverpool,12.8,12.8,7.03,80,1,-1,0,1,1,0
28,18,Wilson,FWD,4,Newcastle,7.4,7.4,4.28,73,1,-1,0,0,0,0
23,18,Darwin,FWD,4,Liverpool,9.0,8.9,5.32,69,1,-1,0,0,0,0
26,18,Haaland,FWD,4,Man City,12.2,11.9,7.81,76,1,-1,1,0,0,0
21,18,Iversen,GKP,1,Leicester,3.9,3.9,0.11,5,0,0,0,0,0,0
31,18,Kilman,DEF,2,Wolves,4.4,4.4,2.28,82,0,3,0,0,0,0
17,18,Dunk,DEF,2,Brighton,4.7,4.6,2.82,86,0,2,0,0,0,0
16,18,Martinelli,MID,3,Arsenal,6.8,6.8,3.67,77,0,1,0,0,0,0
25,18,Foden,MID,3,Man City,8.3,8.3,4.21,60,0,-1,0,0,0,1
36,19,Ward,GKP,1,Leicester,4.1,4.0,3.78,85,1,-1,0,0,0,0
46,19,Zouma,DEF,2,West Ham,4.5,4.5,2.59,78,1,-1,0,0,0,0
33,19,Dunk,DEF,2,Brighton,4.7,4.6,3.86,85,1,-1,0,0,0,0
39,19,Alexander-Arnold,DEF,2,Liverpool,7.2,7.2,4.92,79,1,-1,0,1,1,0
32,19,Martinelli,MID,3,Arsenal,6.8,6.8,3.78,75,1,-1,0,0,0,0
34,19,Zaha,MID,3,Crystal Palace,7.5,7.3,4.0,77,1,-1,0,0,0,0
43,19,Rashford,MID,3,Man Utd,6.7,6.6,4.95,63,1,-1,0,0,0,0
38,19,Salah,MID,3,Liverpool,12.8,12.8,6.03,78,1,-1,1,0,0,0
40,19,Darwin,FWD,4,Liverpool,9.0,8.9,3.47,68,1,-1,0,0,0,0
44,19,Wilson,FWD,4,Newcastle,7.4,7.4,3.81,70,1,-1,0,0,0,0
42,19,Haaland,FWD,4,Man City,12.2,11.9,5.29,75,1,-1,0,0,0,0
37,19,Iversen,GKP,1,Leicester,3.9,3.9,0.36,5,0,0,0,0,0,0
45,19,Trippier,DEF,2,Newcastle,5.9,5.6,2.11,76,0,3,0,0,0,0
47,19,Kilman,DEF,2,Wolves,4.4,4.4,2.18,80,0,2,0,0,0,0
41,19,Cancelo,DEF,2,Man City,7.4,7.3,3.62,73,0,-1,0,0,0,1
35,19,Andreas,MID,3,Fulham,4.6,4.5,2.41,76,0,1,0,0,0,0
