,week,name,pos,type,team,buy_price,sell_price,xP,xMin,lineup,bench,captain,vicecaptain,transfer_in,transfer_out
4,17,Ward,GKP,1,Leicester,4.1,4.0,3.43,87,1,-1,0,0,0,0
1,17,Dunk,DEF,2,Brighton,4.7,4.6,3.71,88,1,-1,0,0,0,0
12,17,Trippier,DEF,2,Newcastle,5.9,5.6,3.76,86,1,-1,0,0,0,0
7,17,Cancelo,DEF,2,Man City,7.4,7.3,4.24,78,1,-1,0,0,0,0
8,17,Foden,MID,3,Man City,8.3,8.3,4.14,59,1,-1,0,0,0,0
10,17,Rashford,MID,3,Man Utd,6.7,6.6,4.83,67,1,-1,0,0,0,0
0,17,Martinelli,MID,3,Arsenal,6.8,6.8,4.98,80,1,-1,0,0,0,0
2,17,Zaha,MID,3,Crystal Palace,7.5,7.3,5.29,85,1,-1,0,1,0,0
11,17,Wilson,FWD,4,Newcastle,7.4,7.4,4.28,75,1,-1,0,0,1,0
6,17,Darwin,FWD,4,Liverpool,9.0,8.9,4.63,76,1,-1,0,0,0,0
9,17,Haaland,FWD,4,Man City,12.2,11.9,7.2,82,1,-1,1,0,0,0
5,17,Iversen,GKP,1,Leicester,3.9,3.9,0.11,3,0,0,0,0,0,0
14,17,Zouma,DEF,2,West Ham,4.5,4.5,1.73,83,0,3,0,0,0,0
15,17,Kilman,DEF,2,Wolves,4.4,4.4,2.69,85,0,2,0,0,0,0
3,17,Andreas,MID,3,Fulham,4.6,4.5,3.01,82,0,1,0,0,0,0
13,17,Kane,FWD,4,Spurs,11.6,11.5,5.4,86,0,-1,0,0,0,1
20,18,Ward,GKP,1,Leicester,4.1,4.0,3.05,85,1,-1,0,0,0,0
30,18,Zouma,DEF,2,West Ham,4.5,4.5,3.42,81,1,-1,0,0,0,0
29,18,Trippier,DEF,2,Newcastle,5.9,5.6,4.44,81,1,-1,0,0,0,0
24,18,Cancelo,DEF,2,Man City,7.4,7.3,4.99,75,1,-1,0,0,0,0
19,18,Andreas,MID,3,Fulham,4.6,4.5,3.59,78,1,-1,0,0,0,0
27,18,Rashford,MID,3,Man Utd,6.7,6.6,3.84,66,1,-1,0,0,0,0
18,18,Zaha,MID,3,Crystal Palace,7.5,7.3,4.45,82,1,-1,0,0,0,0
22,18,Salah,MID,3,Liverpool,12.8,12.8,7.24,80,1,-1,0,1,1,0
23,18,Darwin,FWD,4,Liverpool,9.0,8.9,5.04,69,1,-1,0,0,0,0
28,18,Wilson,FWD,4,Newcastle,7.4,7.4,5.1,73,1,-1,0,0,0,0
26,18,Haaland,FWD,4,Man City,12.2,11.9,7.39,76,1,-1,1,0,0,0
21,18,Iversen,GKP,1,Leicester,3.9,3.9,0.16,5,0,0,0,0,0,0
31,18,Kilman,DEF,2,Wolves,4.4,4.4,2.23,82,0,3,0,0,0,0
17,18,Dunk,DEF,2,Brighton,4.7,4.6,2.75,86,0,2,0,0,0,0
16,18,Martinelli,MID,3,Arsenal,6.8,6.8,3.99,77,0,1,0,0,0,0
25,18,Foden,MID,3,Man City,8.3,8.3,4.63,60,0,-1,0,0,0,1
36,19,Ward,GKP,1,Leicester,4.1,4.0,3.6,85,1,-1,0,0,0,0
46,19,Zouma,DEF,2,West Ham,4.5,4.5,2.45,78,1,-1,0,0,0,0
33,19,Dunk,DEF,2,Brighton,4.7,4.6,3.54,85,1,-1,0,0,0,0
39,19,Alexander-Arnold,DEF,2,Liverpool,7.2,7.2,4.41,79,1,-1,0,1,1,0
34,19,Zaha,MID,3,Crystal Palace,7.5,7.3,3.88,77,1,-1,0,0,0,0
32,19,Martinelli,MID,3,Arsenal,6.8,6.8,4.33,75,1,-1,0,0,0,0
43,19,Rashford,MID,3,Man Utd,6.7,6.6,4.67,63,1,-1,0,0,0,0
38,19,Salah,MID,3,Liverpool,12.8,12.8,6.25,78,1,-1,1,0,0,0
44,19,Wilson,FWD,4,Newcastle,7.4,7.4,3.16,70,1,-1,0,0,0,0
40,19,Darwin,FWD,4,Liverpool,9.0,8.9,4.45,68,1,-1,0,0,0,0
42,19,Haaland,FWD,4,Man City,12.2,11.9,5.11,75,1,-1,0,0,0,0
37,19,Iversen,GKP,1,Leicester,3.9,3.9,0.22,5,0,0,0,0,0,0
47,19,Kilman,DEF,2,Wolves,4.4,4.4,2.17,80,0,2,0,0,0,0
45,19,Trippier,DEF,2,Newcastle,5.9,5.6,2.29,76,0,3,0,0,0,0
41,19,Cancelo,DEF,2,Man City,7.4,7.3,3.46,73,0,-1,0,0,0,1
35,19,Andreas,MID,3,Fulham,4.6,4.5,2.87,76,0,1,0,0,0,0
